Contador;BME_Temp;BME_Umid;DHT11_Temp;DHT11_Umid;DHT22_Temp;DHT22_Umid;P10_temp;HTU21d_temp;HTU21d_umid
1;24.72;30.16;25.00;34.00;25.30;35.90;18.23;24.45;30.69
2;24.84;30.01;25.00;34.00;25.40;36.00;18.14;24.45;30.41
3;24.87;30.01;25.00;34.00;25.40;35.90;18.29;24.53;30.59
4;24.96;29.78;25.00;34.00;25.40;36.30;18.23;24.56;30.08
5;24.95;29.57;25.00;34.00;25.40;35.70;18.32;24.58;30.45
6;25.04;29.45;26.00;34.00;25.40;35.70;18.14;24.58;30.10
7;25.04;29.41;26.00;34.00;25.50;35.80;18.23;24.62;30.11
8;25.12;29.27;26.00;35.00;25.40;35.70;18.14;24.64;30.07
9;25.13;29.23;26.00;35.00;25.40;35.70;18.40;24.71;30.15
10;25.22;29.19;26.00;34.00;25.40;35.90;18.32;24.69;29.79
11;25.20;29.12;26.00;34.00;25.40;35.80;18.46;24.75;29.81
12;25.27;29.00;26.00;34.00;25.40;35.80;18.29;24.73;29.82
13;33.13;19.44;34.00;19.00;34.70;27.00;31.20;31.58;18.84
14;33.19;19.45;34.00;20.00;34.90;27.00;31.11;31.83;18.36
15;32.52;19.72;34.00;19.00;35.10;26.90;31.01;32.06;18.16
16;32.66;19.84;34.00;20.00;35.20;27.00;30.92;32.32;17.73
17;32.18;20.19;34.00;20.00;35.20;26.80;30.80;32.28;17.92
18;32.30;20.20;34.00;20.00;35.30;26.90;30.77;32.47;17.56
19;31.83;20.39;34.00;20.00;35.20;26.80;30.74;32.42;17.78
20;32.06;20.75;34.00;21.00;35.30;26.90;30.64;32.47;17.49
21;31.76;20.55;34.00;21.00;35.30;26.80;30.67;32.43;17.66
22;32.11;20.73;34.00;21.00;35.40;26.90;30.74;32.52;17.46
23;31.90;20.78;34.00;21.00;35.40;26.80;30.74;32.45;17.68
24;32.11;20.54;34.00;21.00;35.40;26.80;30.74;32.48;17.55
25;17.88;35.66;19.00;44.00;18.40;41.20;8.05;19.55;36.35
26;18.30;36.83;19.00;41.00;18.20;37.30;7.55;19.27;36.95
27;18.53;37.40;19.00;45.00;18.10;43.00;7.21;18.93;34.89
28;18.76;37.23;19.00;42.00;17.90;38.30;6.89;18.72;36.52
29;18.90;37.40;19.00;45.00;17.90;43.30;6.57;18.42;38.47
30;19.15;37.12;19.00;42.00;17.70;38.50;6.45;18.27;37.75
31;19.24;35.74;19.00;46.00;17.70;44.60;6.48;18.25;42.78
32;19.28;36.28;19.00;43.00;17.60;39.60;6.64;18.15;38.19
33;19.11;34.77;19.00;45.00;17.50;42.70;6.42;18.03;40.87
34;19.25;36.19;19.00;41.00;17.40;38.90;6.48;17.91;41.32
35;19.45;37.26;19.00;45.00;17.30;43.60;6.26;17.80;42.18
36;19.61;37.29;19.00;46.00;17.30;40.10;6.35;17.74;41.59
37;24.33;63.65;26.00;76.00;25.80;71.80;16.83;23.31;74.80
38;24.22;64.41;26.00;77.00;25.70;70.70;16.77;23.27;78.25
39;24.18;65.20;26.00;77.00;25.50;72.80;16.65;23.18;75.68
40;24.09;65.88;26.00;78.00;25.40;72.00;16.51;23.05;75.55
41;24.06;66.55;26.00;78.00;25.30;72.30;16.39;22.88;72.28
42;23.92;66.76;26.00;78.00;25.20;71.00;16.30;22.81;75.95
43;23.87;67.29;25.00;77.00;25.10;72.60;16.27;22.71;74.58
44;23.79;67.58;25.00;77.00;25.00;73.20;16.33;22.71;76.87
45;23.75;68.03;25.00;79.00;24.90;75.20;16.24;22.63;74.44
46;23.63;68.16;25.00;79.00;24.80;74.20;16.21;22.63;77.97
47;23.58;68.52;25.00;79.00;24.80;75.70;16.21;22.59;74.59
48;23.52;68.78;25.00;80.00;24.70;75.30;16.21;22.61;77.90
49;25.04;34.07;26.00;36.00;25.30;36.50;18.26;24.54;30.88
50;25.06;33.43;26.00;37.00;25.40;36.90;18.29;24.61;30.59
51;25.15;33.01;26.00;36.00;25.40;36.30;18.32;24.65;30.47
52;25.15;32.56;26.00;36.00;25.40;36.60;18.29;24.69;30.33
53;25.20;32.21;26.00;36.00;25.50;36.30;18.40;24.75;30.41
54;25.20;31.88;26.00;36.00;25.50;36.40;18.40;24.78;30.13
55;25.29;31.76;26.00;36.00;25.50;36.10;18.61;24.83;30.43
56;25.28;31.38;26.00;36.00;25.50;36.40;18.32;24.84;30.30
57;25.32;31.24;26.00;35.00;25.60;36.10;18.43;24.86;30.05
58;25.32;31.00;26.00;35.00;25.60;36.10;18.35;24.87;30.22
59;25.33;30.92;26.00;35.00;25.70;36.10;18.58;24.93;29.98
60;25.30;30.72;26.00;35.00;25.70;36.30;18.26;24.89;29.95





